"faa","name","lat","lon","alt","tz","dst","city","country"
YXT,Northwest Regional Airport Terrace-Kitimat,54.468498,-128.576009,713,-8.0,A,Terrace,Canada
YXU,London Airport,43.035599,-81.1539,912,-5.0,A,London,Canada
YXX,Abbotsford Airport,49.025299072265625,-122.36100006103516,195,-8.0,A,Abbotsford,Canada
YXY,Whitehorse / Erik Nielsen International Airport,60.7095985413,-135.067001343,2317,-8.0,A,Whitehorse,Canada
YYB,North Bay Jack Garland Airport,46.363602,-79.422798,1215,-5.0,A,North Bay,Canada
YYC,Calgary International Airport,51.113899231,-114.019996643,3557,-7.0,A,Calgary,Canada
YYD,Smithers Airport,54.82469940185547,-127.18299865722656,1712,-8.0,A,Smithers,Canada
YYE,Fort Nelson Airport,58.8363990784,-122.597000122,1253,-8.0,A,Fort Nelson,Canada
YYF,Penticton Airport,49.46310043334961,-119.60199737548828,1129,-8.0,A,Penticton,Canada
YYG,Charlottetown Airport,46.290000915527344,-63.12110137939453,160,-4.0,A,Charlottetown,Canada
YYH,Taloyoak Airport,69.5466995239,-93.5766983032,92,-7.0,A,Spence Bay,Canada
YYJ,Victoria International Airport,48.646900177,-123.426002502,63,-8.0,A,Victoria,Canada
YYL,Lynn Lake Airport,56.86389923095703,-101.07599639892578,1170,-6.0,A,Lynn Lake,Canada
YYN,Swift Current Airport,50.2919006348,-107.691001892,2680,-6.0,N,Swift Current,Canada
YYQ,Churchill Airport,58.739200592041016,-94.06500244140624,94,-6.0,A,Churchill,Canada
YYR,Goose Bay Airport,53.3191986084,-60.4258003235,160,-4.0,A,Goose Bay,Canada
YYT,St. John's International Airport,47.618598938,-52.7518997192,461,-3.5,A,St. John's,Canada
YYU,Kapuskasing Airport,49.41389846801758,-82.46749877929688,743,-5.0,A,Kapuskasing,Canada
YYW,Armstrong Airport,50.29029846191406,-88.90969848632812,1058,-5.0,A,Armstrong,Canada
YYY,Mont Joli Airport,48.60860061645508,-68.20809936523438,172,-5.0,A,Mont Joli,Canada
YYZ,Lester B. Pearson International Airport,43.6772003174,-79.63059997559999,569,-5.0,A,Toronto,Canada
YZD,Downsview Airport,43.74250030517578,-79.4655990600586,652,-5.0,A,Toronto,Canada
YZE,Gore Bay Manitoulin Airport,45.88529968261719,-82.56780242919922,635,-5.0,A,Gore Bay,Canada
YZF,Yellowknife Airport,62.462799072265625,-114.44000244140624,675,-7.0,A,Yellowknife,Canada
YZH,Slave Lake Airport,55.2930984497,-114.777000427,1912,-7.0,A,Slave Lake,Canada
YZP,Sandspit Airport,53.25429916379999,-131.813995361,21,-8.0,A,Sandspit,Canada
YZR,Chris Hadfield Airport,42.9994010925293,-82.30889892578125,594,-5.0,A,Sarnia,Canada
YZT,Port Hardy Airport,50.68059921264648,-127.36699676513672,71,-8.0,A,Port Hardy,Canada
YZU,Whitecourt Airport,54.14390182495117,-115.78700256347656,2567,-7.0,A,Whitecourt,Canada
YZV,Sept-Îles Airport,50.22330093383789,-66.2656021118164,180,-5.0,A,Sept-iles,Canada
YZW,Teslin Airport,60.17279815673828,-132.7429962158203,2313,-8.0,A,Teslin,Canada
YZX,CFB Greenwood,44.98440170288086,-64.91690063476562,92,-4.0,A,Greenwood,Canada
ZFA,Faro Airport,62.20750045776367,-133.37600708007812,2351,-8.0,A,Faro,Canada
ZFM,Fort Mcpherson Airport,67.40750122070312,-134.86099243164062,116,-7.0,A,Fort Mcpherson,Canada
QLD,Blida Airport,36.50360107421875,2.814169883728028,535,1.0,N,Blida,Algeria
BUJ,Bou Saada Airport,35.33250045776367,4.206389904022217,1506,1.0,N,Bou Saada,Algeria
BJA,Soummam Airport,36.7120018005,5.0699200630200005,20,1.0,N,Bejaja,Algeria
ALG,Houari Boumediene Airport,36.69100189208984,3.215409994125366,82,1.0,N,Algier,Algeria
DJG,Djanet Inedbirene Airport,24.292801,9.45244,3176,1.0,N,Djanet,Algeria
VVZ,Illizi Takhamalt Airport,26.7234992981,8.62265014648,1778,1.0,N,Illizi,Algeria
TMR,Aguenar – Hadj Bey Akhamok Airport,22.8115005493,5.45107984543,4518,1.0,N,Tamanrasset,Algeria
GJL,Jijel Ferhat Abbas Airport,36.7951011658,5.87361001968,36,1.0,N,Jijel,Algeria
MZW,Mecheria Airport,33.535900116,-0.242353007197,3855,1.0,N,Mecheria,Algeria
AAE,Rabah Bitat Airport,36.822201,7.809174,16,1.0,N,Annaba,Algeria
CZL,Mohamed Boudiaf International Airport,36.2760009765625,6.620389938354492,2265,1.0,N,Constantine,Algeria
TEE,Cheikh Larbi Tébessi Airport,35.4315986633,8.12071990967,2661,1.0,N,Tebessa,Algeria
HRM,Hassi R'Mel Airport,32.93040084838867,3.311539888381958,2540,1.0,N,Tilrempt,Algeria
TID,Bou Chekif Airport,35.3410987854,1.46315002441,3245,1.0,N,Tiaret,Algeria
TIN,Tindouf Airport,27.7003993988,-8.167099952700001,1453,1.0,N,Tindouf,Algeria
CFK,Ech Cheliff Airport,36.2126998901,1.33176994324,463,1.0,N,Ech-cheliff,Algeria
TAF,Tafaraoui Airport,35.54240036010742,-0.5322780013084412,367,1.0,N,Oran,Algeria
